Unnamed: 0,Unnamed: 1,Unnamed: 2,Time (sec),Boiler Temp (C),Turbine In Temp (C),Turbine Ex Temp (C),Boiler Pres (psig),Turbine In Pres (psig),Turbine Ex Pres (psig),Fuel Flow (L/min),Generator (RPM),Voltage (Volts),Current (Amps),Power (Watts)
,,,1118.611,27.478,-1650.173,-1885.748,25.602,2.556,2.23,3.638,428.092,1.348,0.007,0.01
,,,1119.61,-863.143,-81.597,34.403,25.796,2.558,2.221,3.643,397.631,1.261,0.004,0.005
,,,1120.612,39.052,-888.878,-1022.257,25.675,2.546,2.206,3.619,377.485,1.205,0.009,0.011
,,,1121.611,39.871,49.301,34.519,25.864,2.56,2.221,3.631,439.803,1.337,0.005,0.007
,,,1122.611,38.791,50.427,36.781,25.873,2.555,2.215,3.624,414.113,1.32,0.005,0.007
,,,1123.612,38.523,46.252,30.224,25.942,2.561,2.23,3.631,442.237,1.428,0.005,0.007
,,,1124.611,-448.755,43.405,37.266,26.045,2.565,2.227,3.639,439.043,1.408,0.005,0.007
,,,1125.611,39.879,50.078,29.196,26.28,2.577,2.235,3.653,439.757,1.435,0.005,0.007
,,,1126.611,39.212,46.111,31.82,26.15,2.565,2.227,3.634,446.208,1.46,0.005,0.007
,,,1127.611,38.693,44.738,36.678,26.348,2.586,2.238,3.641,437.821,1.456,0.005,0.008
,,,1128.612,39.826,54.907,30.399,26.434,2.588,2.237,3.653,434.356,1.419,0.005,0.007
,,,1129.612,-535.047,46.5,38.734,26.395,2.58,2.243,3.647,430.673,1.42,0.005,0.007
,,,1130.612,-229.904,58.624,32.457,26.369,2.577,2.239,3.644,437.798,1.445,0.005,0.007
,,,1131.612,39.842,52.321,37.463,26.255,2.566,2.233,3.632,433.987,1.435,0.005,0.007
,,,1132.612,39.399,54.764,38.287,26.339,2.574,2.23,3.635,434.544,1.437,0.005,0.008
,,,1133.612,39.853,55.141,29.74,26.471,2.581,2.243,3.65,424.786,1.39,0.005,0.007
,,,1134.612,40.04,47.305,31.32,26.478,2.582,2.234,3.642,438.398,1.443,0.005,0.007
,,,1135.612,45.281,45.623,34.396,26.565,2.582,2.241,3.643,437.291,1.416,0.005,0.007
,,,1136.612,39.961,-125.071,36.441,26.493,2.568,2.224,3.626,416.27,1.302,0.005,0.007
,,,1137.613,43.887,-1039.662,34.842,26.602,2.575,2.234,3.629,413.289,1.359,0.005,0.007
,,,1138.613,41.565,-409.303,39.454,26.586,2.575,2.23,3.634,442.327,1.368,0.006,0.008
,,,1139.614,41.119,-4169.899,-2232.897,26.639,2.577,2.225,3.607,409.919,1.233,0.006,0.007
,,,1140.614,45.424,-909.67,-5017.332,26.845,2.575,2.238,3.631,397.555,1.176,0.006,0.007
,,,1141.613,-86.028,-3029.509,-6974.305,26.569,2.554,2.219,3.595,400.398,1.169,0.006,0.007
,,,1142.613,31.606,-2435.801,-5195.634,27.598,2.678,2.323,3.846,397.786,1.195,0.004,0.005
,,,1143.613,-16.866,-2196.797,-5474.139,28.952,2.801,2.44,4.107,420.563,1.2,0.001,0.001
,,,1144.614,-561.685,-6050.969,-4094.972,28.668,2.765,2.412,4.062,398.614,1.209,0.003,0.004
,,,1145.616,42.008,-2860.888,-3750.706,28.825,2.78,2.426,4.065,393.764,1.178,0.007,0.008
,,,1146.616,-1070.683,-1872.317,-2663.528,28.735,2.769,2.411,4.059,392.126,1.256,0.022,0.028
,,,1147.616,-3603.18,-7038.404,-10271.389,28.907,2.787,2.419,4.034,381.645,1.138,0.019,0.022
,,,1148.616,-3445.92,-7003.425,-12247.679,28.952,2.783,2.408,4.033,369.61,1.034,0.025,0.026
,,,1149.616,-2813.3,-2541.819,-4086.158,28.852,2.765,2.412,4.048,348.978,1.06,0.024,0.025
,,,1150.616,-2156.32,-9174.301,-7379.697,29.039,2.786,2.399,4.004,385.344,1.018,0.019,0.019
,,,1151.616,-1224.823,-8113.283,-7722.555,28.987,2.754,2.412,4.04,359.477,1.116,0.013,0.014
