iteration	p=g(p)	absolute err
0	-0.7456	1.8656
1	-1.44408	0.698481
2	0.0853689	1.52945
3	-1.99271	2.07808
4	1.9709	3.96361
5	1.88445	0.0864482
6	1.55117	0.333288
7	0.406113	1.14505
8	-1.83507	2.24119
9	1.36749	3.20256
10	-0.129972	1.49746
11	-1.98311	1.85314
12	1.93271	3.91582
13	1.73539	0.197329
14	1.01156	0.723821
15	-0.976736	1.9883
16	-1.04599	0.0692499
17	-0.905913	0.140073
18	-1.17932	0.273409
19	-0.6092	0.570122
20	-1.62888	1.01968
21	0.653235	2.28211
22	-1.57328	2.22652
23	0.475221	2.0485
24	-1.77417	2.24939
25	1.14766	2.92183
26	-0.682871	1.83053
27	-1.53369	0.850816
28	0.352196	1.88588
29	-1.87596	2.22815
30	1.51922	3.39517
31	0.30802	1.2112
32	-1.90512	2.21314
33	1.6295	3.53462
34	0.655255	0.97424
35	-1.57064	2.2259
36	0.466911	2.03755
37	-1.78199	2.24891
38	1.1755	2.9575
39	-0.618195	1.7937
40	-1.61784	0.99964
41	0.61739	2.23523
42	-1.61883	2.23622
43	0.620609	2.23944
44	-1.61485	2.23545
45	0.607724	2.22257
46	-1.63067	2.2384
47	0.659088	2.28976
48	-1.5656	2.22469
49	0.451113	2.01672
50	-1.7965	2.24761
51	1.2274	3.0239
52	-0.493487	1.72089
53	-1.75647	1.26298
54	1.08519	2.84166
55	-0.822364	1.90755
56	-1.32372	0.501354
57	-0.24777	1.07595
58	-1.93861	1.69084
59	1.75821	3.69682
60	1.0913	0.666913
61	-0.809074	1.90037
62	-1.3454	0.536325
63	-0.189901	1.1555
64	-1.96394	1.77404
65	1.85705	3.82099
66	1.44864	0.408415
67	0.0985444	1.35009
68	-1.99029	2.08883
69	1.96125	3.95154
70	1.8465	0.114748
71	1.40957	0.43693
72	-0.013105	1.42268
73	-1.99983	1.98672
74	1.99931	3.99914
75	1.99725	0.00206089
76	1.98902	0.00823641
77	1.95618	0.0328326
78	1.82665	0.129531
79	1.33666	0.489995
80	-0.213349	1.55001
81	-1.95448	1.74113
82	1.82	3.77448
83	1.3124	0.507597
84	-0.277595	1.59
85	-1.92294	1.64535
86	1.6977	3.62064
87	0.88219	0.815511
88	-1.22174	2.10393
89	-0.50735	0.71439
90	-1.7426	1.23525
91	1.03664	2.77924
92	-0.925377	1.96202
93	-1.14368	0.2183
94	-0.692002	0.451675
95	-1.52113	0.82913
96	0.313845	1.83498
97	-1.9015	2.21535
98	1.61571	3.51721
99	0.610513	1.0052
100	-1.62727	2.23779
101	0.648021	2.2753
102	-1.58007	2.22809
103	0.496616	2.07668
104	-1.75337	2.24999
105	1.07432	2.82769
106	-0.845844	1.92016
107	-1.28455	0.438704
108	-0.349937	0.934611
109	-1.87754	1.52761
110	1.52517	3.40272
111	0.32615	1.19902
112	-1.89363	2.21978
113	1.58582	3.47945
114	0.514827	1.07099
115	-1.73495	2.24978
116	1.01006	2.74501
117	-0.979775	1.98984
118	-1.04004	0.0602649
119	-0.918316	0.121724
120	-1.1567	0.238379
121	-0.662056	0.494639
122	-1.56168	0.899626
123	0.43885	2.00053
124	-1.80741	2.24626
125	1.26673	3.07414
126	-0.395386	1.66212
127	-1.84367	1.44828
128	1.39912	3.24279
129	-0.0424709	1.44159
130	-1.9982	1.95573
131	1.99279	3.99098
132	1.97121	0.0215831
133	1.88565	0.0855551
134	1.55568	0.329974
135	0.420129	1.13555
136	-1.82349	2.24362
137	1.32512	3.14861
138	-0.244055	1.56918
139	-1.94044	1.69638
140	1.7653	3.70573
141	1.11627	0.649026
142	-0.753942	1.87021
143	-1.43157	0.67763
144	0.0493982	1.48097
